country_or_area,element_code,element,year,unit,value,value_footnotes,categgory
United States of America,150,Non-fertilizer use,2007,tonnes,0.00000,NR,ammonia_anhydrous
United States of America,150,Non-fertilizer use,2006,tonnes,1120025.00000,Qm,ammonia_anhydrous
United States of America,150,Non-fertilizer use,2005,tonnes,1076048.00000,Qm,ammonia_anhydrous
United States of America,150,Non-fertilizer use,2004,tonnes,637163.00000,Qm,ammonia_anhydrous
United States of America,150,Non-fertilizer use,2003,tonnes,1236054.00000,Qm,ammonia_anhydrous
United States of America,150,Non-fertilizer use,2002,tonnes,1258252.00000,Qm,ammonia_anhydrous
United States of America,51,Production Quantity,2007,tonnes,0.00000,NR,ammonia_anhydrous
United States of America,51,Production Quantity,2006,tonnes,9961761.00000,Qm,ammonia_anhydrous
United States of America,51,Production Quantity,2005,tonnes,10143251.00000,Qm,ammonia_anhydrous
United States of America,51,Production Quantity,2004,tonnes,10938923.00000,Qm,ammonia_anhydrous
United States of America,51,Production Quantity,2003,tonnes,10467904.00000,Qm,ammonia_anhydrous
United States of America,51,Production Quantity,2002,tonnes,12576514.00000,Qm,ammonia_anhydrous
United States of America,5157,Consumption,2007,tonnes,0.00000,NR,ammonia_anhydrous
United States of America,5157,Consumption,2006,tonnes,15803831.00000,Fb,ammonia_anhydrous
United States of America,5157,Consumption,2005,tonnes,16393196.00000,Fb,ammonia_anhydrous
United States of America,5157,Consumption,2004,tonnes,17045391.00000,Fb,ammonia_anhydrous
United States of America,5157,Consumption,2003,tonnes,15697025.00000,Fb,ammonia_anhydrous
United States of America,5157,Consumption,2002,tonnes,17721464.00000,Fb,ammonia_anhydrous
United States of America,61,Import Quantity,2007,tonnes,0.00000,NR,ammonia_anhydrous
United States of America,61,Import Quantity,2006,tonnes,7197827.00000,Qm,ammonia_anhydrous
United States of America,61,Import Quantity,2005,tonnes,7964723.00000,Qm,ammonia_anhydrous
United States of America,61,Import Quantity,2004,tonnes,7206960.00000,Qm,ammonia_anhydrous
United States of America,61,Import Quantity,2003,tonnes,6952676.00000,Qm,ammonia_anhydrous
United States of America,61,Import Quantity,2002,tonnes,5676640.00000,Qm,ammonia_anhydrous
United States of America,91,Export Quantity,2007,tonnes,0.00000,NR,ammonia_anhydrous
United States of America,91,Export Quantity,2006,tonnes,235732.00000,Qm,ammonia_anhydrous
United States of America,91,Export Quantity,2005,tonnes,638730.00000,Qm,ammonia_anhydrous
United States of America,91,Export Quantity,2004,tonnes,463329.00000,Qm,ammonia_anhydrous
United States of America,91,Export Quantity,2003,tonnes,487500.00000,Qm,ammonia_anhydrous
United States of America,91,Export Quantity,2002,tonnes,531690.00000,Qm,ammonia_anhydrous
United States of America,150,Non-fertilizer use,2007,tonnes,0.00000,NR,ammonium_nitrate
United States of America,150,Non-fertilizer use,2006,tonnes,0.00000,NR,ammonium_nitrate
United States of America,150,Non-fertilizer use,2005,tonnes,0.00000,NR,ammonium_nitrate
United States of America,150,Non-fertilizer use,2004,tonnes,0.00000,NR,ammonium_nitrate
United States of America,150,Non-fertilizer use,2003,tonnes,0.00000,NR,ammonium_nitrate
United States of America,150,Non-fertilizer use,2002,tonnes,0.00000,NR,ammonium_nitrate
United States of America,51,Production Quantity,2007,tonnes,0.00000,NR,ammonium_nitrate
United States of America,51,Production Quantity,2006,tonnes,0.00000,NR,ammonium_nitrate
United States of America,51,Production Quantity,2005,tonnes,0.00000,NR,ammonium_nitrate
United States of America,51,Production Quantity,2004,tonnes,0.00000,NR,ammonium_nitrate
United States of America,51,Production Quantity,2003,tonnes,0.00000,NR,ammonium_nitrate
United States of America,51,Production Quantity,2002,tonnes,6437491.00000,Qm,ammonium_nitrate
United States of America,5157,Consumption,2007,tonnes,0.00000,NV,ammonium_nitrate
United States of America,5157,Consumption,2006,tonnes,1016035.00000,Fb,ammonium_nitrate
United States of America,5157,Consumption,2005,tonnes,825396.00000,Fb,ammonium_nitrate
United States of America,5157,Consumption,2004,tonnes,945993.00000,Fb,ammonium_nitrate
United States of America,5157,Consumption,2003,tonnes,1152148.00000,Fb,ammonium_nitrate
United States of America,5157,Consumption,2002,tonnes,7328793.00000,Fb,ammonium_nitrate
United States of America,61,Import Quantity,2007,tonnes,1107239.00000,Qm,ammonium_nitrate
United States of America,61,Import Quantity,2006,tonnes,1143282.00000,Qm,ammonium_nitrate
United States of America,61,Import Quantity,2005,tonnes,907634.00000,Qm,ammonium_nitrate
United States of America,61,Import Quantity,2004,tonnes,1055966.00000,Qm,ammonium_nitrate
United States of America,61,Import Quantity,2003,tonnes,1204005.00000,Qm,ammonium_nitrate
United States of America,61,Import Quantity,2002,tonnes,989522.00000,Qm,ammonium_nitrate
United States of America,91,Export Quantity,2007,tonnes,194041.00000,Qm,ammonium_nitrate
United States of America,91,Export Quantity,2006,tonnes,127247.00000,Qm,ammonium_nitrate
United States of America,91,Export Quantity,2005,tonnes,82238.00000,Qm,ammonium_nitrate
United States of America,91,Export Quantity,2004,tonnes,109974.00000,Qm,ammonium_nitrate
United States of America,91,Export Quantity,2003,tonnes,51857.00000,Qm,ammonium_nitrate
United States of America,91,Export Quantity,2002,tonnes,98220.00000,Qm,ammonium_nitrate
United States of America,150,Non-fertilizer use,2007,tonnes,0.00000,NR,ammonium_sulphate
United States of America,150,Non-fertilizer use,2006,tonnes,0.00000,NR,ammonium_sulphate
United States of America,150,Non-fertilizer use,2005,tonnes,0.00000,NR,ammonium_sulphate
United States of America,150,Non-fertilizer use,2004,tonnes,0.00000,NR,ammonium_sulphate
United States of America,150,Non-fertilizer use,2003,tonnes,0.00000,NR,ammonium_sulphate
United States of America,150,Non-fertilizer use,2002,tonnes,0.00000,NR,ammonium_sulphate
United States of America,51,Production Quantity,2007,tonnes,0.00000,NR,ammonium_sulphate
United States of America,51,Production Quantity,2006,tonnes,0.00000,NR,ammonium_sulphate
United States of America,51,Production Quantity,2005,tonnes,0.00000,NR,ammonium_sulphate
United States of America,51,Production Quantity,2004,tonnes,0.00000,NR,ammonium_sulphate
United States of America,51,Production Quantity,2003,tonnes,0.00000,NR,ammonium_sulphate
United States of America,51,Production Quantity,2002,tonnes,2671704.00000,Qm,ammonium_sulphate
United States of America,5157,Consumption,2007,tonnes,0.00000,NV,ammonium_sulphate
United States of America,5157,Consumption,2006,tonnes,0.00000,NV,ammonium_sulphate
United States of America,5157,Consumption,2005,tonnes,0.00000,NV,ammonium_sulphate
United States of America,5157,Consumption,2004,tonnes,0.00000,NV,ammonium_sulphate
United States of America,5157,Consumption,2003,tonnes,2019186.00000,Fb,ammonium_sulphate
United States of America,5157,Consumption,2002,tonnes,2144233.00000,Fb,ammonium_sulphate
United States of America,61,Import Quantity,2007,tonnes,404744.00000,Qm,ammonium_sulphate
United States of America,61,Import Quantity,2006,tonnes,339008.00000,Qm,ammonium_sulphate
United States of America,61,Import Quantity,2005,tonnes,280349.00000,Qm,ammonium_sulphate
United States of America,61,Import Quantity,2004,tonnes,325812.00000,Qm,ammonium_sulphate
United States of America,61,Import Quantity,2003,tonnes,283012.00000,Qm,ammonium_sulphate
United States of America,61,Import Quantity,2002,tonnes,346926.00000,Qm,ammonium_sulphate
United States of America,91,Export Quantity,2007,tonnes,1356166.00000,Qm,ammonium_sulphate
United States of America,91,Export Quantity,2006,tonnes,1006772.00000,Qm,ammonium_sulphate
United States of America,91,Export Quantity,2005,tonnes,664925.00000,Qm,ammonium_sulphate
United States of America,91,Export Quantity,2004,tonnes,717642.00000,Qm,ammonium_sulphate
United States of America,91,Export Quantity,2003,tonnes,868395.00000,Qm,ammonium_sulphate
United States of America,91,Export Quantity,2002,tonnes,874397.00000,Qm,ammonium_sulphate
United States of America,51,Production Quantity,2007,tonnes,25734072.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,2006,tonnes,26476639.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,2005,tonnes,26799083.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,2004,tonnes,26763897.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,2003,tonnes,26161022.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,2002,tonnes,26170475.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,2001,tonnes,26101154.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,2000,tonnes,27905764.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1999,tonnes,27927000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1998,tonnes,29009802.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1997,tonnes,27665000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1996,tonnes,27111000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1995,tonnes,27724000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1994,tonnes,29704000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1993,tonnes,26886000.00000,F ,bleached_sulphate_pulp
United States of America,51,Production Quantity,1992,tonnes,26792000.00000,F ,bleached_sulphate_pulp
United States of America,51,Production Quantity,1991,tonnes,26748000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1990,tonnes,25004000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1989,tonnes,24450000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1988,tonnes,23862000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1987,tonnes,23053008.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1986,tonnes,21883008.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1985,tonnes,19700000.00000,F ,bleached_sulphate_pulp
United States of America,51,Production Quantity,1984,tonnes,20222000.00000,F ,bleached_sulphate_pulp
United States of America,51,Production Quantity,1983,tonnes,19146000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1982,tonnes,17891008.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1981,tonnes,17495008.00000,F ,bleached_sulphate_pulp
United States of America,51,Production Quantity,1980,tonnes,17227008.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1979,tonnes,16215000.00000,F ,bleached_sulphate_pulp
United States of America,51,Production Quantity,1978,tonnes,15467000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1977,tonnes,14116000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1976,tonnes,13603000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1975,tonnes,12559000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1974,tonnes,13950000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1973,tonnes,13500000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1972,tonnes,12899000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1971,tonnes,10600000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1970,tonnes,10295000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1969,tonnes,9688000.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1968,tonnes,9022100.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1967,tonnes,7742100.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1966,tonnes,7574200.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1965,tonnes,6644300.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1964,tonnes,5840600.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1963,tonnes,5196400.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1962,tonnes,5318900.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,1961,tonnes,4903400.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,2007,tonnes,5410793.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,2006,tonnes,5585551.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,2005,tonnes,5349000.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,2004,tonnes,5309296.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,2003,tonnes,5188248.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,2002,tonnes,5565926.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,2001,tonnes,5714701.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,2000,tonnes,5647000.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1999,tonnes,5196000.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1998,tonnes,4652000.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1997,tonnes,4875000.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1996,tonnes,4342000.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1995,tonnes,4590000.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1994,tonnes,4232600.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1993,tonnes,4066321.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1992,tonnes,3845569.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1991,tonnes,3705200.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1990,tonnes,3548800.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1989,tonnes,3596900.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1988,tonnes,3436100.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1987,tonnes,3442100.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1986,tonnes,3239300.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1985,tonnes,3171900.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1984,tonnes,3069500.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1983,tonnes,2902700.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1982,tonnes,2576400.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1981,tonnes,2764500.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1980,tonnes,2762000.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1979,tonnes,2868600.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1978,tonnes,2670200.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1977,tonnes,2474000.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1976,tonnes,2423000.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1975,tonnes,2029100.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1974,tonnes,2494000.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1973,tonnes,2481700.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1972,tonnes,2268900.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1971,tonnes,2078300.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1970,tonnes,2014500.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1969,tonnes,2264200.00000,,bleached_sulphate_pulp
United States of America,61,Import Quantity,1968,tonnes,1891000.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,2007,1000 $,3161739.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,2006,1000 $,2732592.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,2005,1000 $,2581953.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,2004,1000 $,2474685.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,2003,1000 $,2193259.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,2002,1000 $,1980911.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,2001,1000 $,2212204.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,2000,1000 $,2819888.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1999,1000 $,2194258.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1998,1000 $,2027078.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1997,1000 $,2274520.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1996,1000 $,2315260.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1995,1000 $,3397933.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1994,1000 $,2000700.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1993,1000 $,1636841.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1992,1000 $,1880540.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1991,1000 $,1825940.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1990,1000 $,2445325.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1989,1000 $,2491582.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1988,1000 $,2068474.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1987,1000 $,1656164.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1986,1000 $,1256971.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1985,1000 $,1205513.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1984,1000 $,1445283.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1983,1000 $,1174252.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1982,1000 $,1180459.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1981,1000 $,1347905.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1980,1000 $,1297965.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1979,1000 $,1092942.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1978,1000 $,850051.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1977,1000 $,869974.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1976,1000 $,897621.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1975,1000 $,792154.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1974,1000 $,756429.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1973,1000 $,464150.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1972,1000 $,344679.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1971,1000 $,327203.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1970,1000 $,317057.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1969,1000 $,317445.00000,,bleached_sulphate_pulp
United States of America,62,Import Value,1968,1000 $,258258.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,2007,tonnes,5283089.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,2006,tonnes,5110037.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,2005,tonnes,4716000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,2004,tonnes,4457000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,2003,tonnes,4310964.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,2002,tonnes,4613264.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,2001,tonnes,4639034.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,2000,tonnes,4691000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1999,tonnes,4380000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1998,tonnes,4374000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1997,tonnes,4995000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1996,tonnes,5011000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1995,tonnes,5609000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1994,tonnes,4790700.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1993,tonnes,4659678.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1992,tonnes,5127755.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1991,tonnes,4502000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1990,tonnes,4066100.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1989,tonnes,4267500.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1988,tonnes,3643600.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1987,tonnes,3197000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1986,tonnes,2903400.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1985,tonnes,2507200.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1984,tonnes,2340500.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1983,tonnes,2329500.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1982,tonnes,2195700.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1981,tonnes,2253800.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1980,tonnes,2263200.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1979,tonnes,1577800.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1978,tonnes,1354700.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1977,tonnes,1332000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1976,tonnes,1288000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1975,tonnes,1377000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1974,tonnes,1389000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1973,tonnes,1117000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1972,tonnes,1044800.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1971,tonnes,919000.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1970,tonnes,1421200.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1969,tonnes,870600.00000,,bleached_sulphate_pulp
United States of America,91,Export Quantity,1968,tonnes,769400.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,2007,1000 $,3373592.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,2006,1000 $,2927283.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,2005,1000 $,2585828.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,2004,1000 $,2264671.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,2003,1000 $,2068645.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,2002,1000 $,2066838.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,2001,1000 $,2115593.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,2000,1000 $,2601890.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1999,1000 $,1969414.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1998,1000 $,1881282.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1997,1000 $,2238750.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1996,1000 $,2331520.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1995,1000 $,3494442.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1994,1000 $,2108450.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1993,1000 $,1723481.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1992,1000 $,2336275.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1991,1000 $,1978361.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1990,1000 $,2355113.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1989,1000 $,2632051.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1988,1000 $,2114500.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1987,1000 $,1631784.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1986,1000 $,1157815.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1985,1000 $,927077.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1984,1000 $,1038549.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1983,1000 $,890306.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1982,1000 $,955871.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1981,1000 $,1076514.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1980,1000 $,1038198.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1979,1000 $,617323.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1978,1000 $,421450.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1977,1000 $,462192.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1976,1000 $,454184.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1975,1000 $,494888.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1974,1000 $,432440.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1973,1000 $,205122.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1972,1000 $,166467.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1971,1000 $,148306.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1970,1000 $,217290.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1969,1000 $,113202.00000,,bleached_sulphate_pulp
United States of America,92,Export Value,1968,1000 $,97755.00000,,bleached_sulphate_pulp
United States of America,51,Production Quantity,2007,tonnes,835135.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,2006,tonnes,859233.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,2005,tonnes,869697.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,2004,tonnes,868555.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,2003,tonnes,848991.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,2002,tonnes,849297.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,2001,tonnes,847048.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,2000,tonnes,905366.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1999,tonnes,996000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1998,tonnes,1012413.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1997,tonnes,1207000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1996,tonnes,1197000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1995,tonnes,1224000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1994,tonnes,1305000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1993,tonnes,1299000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1992,tonnes,1295000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1991,tonnes,1217000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1990,tonnes,1264000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1989,tonnes,1244000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1988,tonnes,1238000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1987,tonnes,1151000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1986,tonnes,1263000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1985,tonnes,1220000.00000,F ,bleached_sulphite_pulp
United States of America,51,Production Quantity,1984,tonnes,1252000.00000,F ,bleached_sulphite_pulp
United States of America,51,Production Quantity,1983,tonnes,1185000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1982,tonnes,1126000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1981,tonnes,1343000.00000,F ,bleached_sulphite_pulp
United States of America,51,Production Quantity,1980,tonnes,1323000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1979,tonnes,1238000.00000,F ,bleached_sulphite_pulp
United States of America,51,Production Quantity,1978,tonnes,1296000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1977,tonnes,1447000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1976,tonnes,1450000.00000,,bleached_sulphite_pulp
United States of America,51,Production Quantity,1975,tonnes,1446000.00000,,bleached_sulphite_pulp
